Year,Technology Type,Prediction,Pred
2025-01-01,Virutal Reality,growing,2
2025-01-01,Argumented Reality,full ,3
2025-01-01,AI,full ,3
2025-01-01,Quantum Computing,emerging,1
2025-01-01,Internet of Things,full ,3
2026-01-01,Virutal Reality,growing,2
2026-01-01,Argumented Reality,full ,3
2026-01-01,AI,full ,3
2026-01-01,Quantum Computing,emerging,1
2026-01-01,Internet of Things,full ,3
2027-01-01,Virutal Reality,growing,2
2027-01-01,Argumented Reality,full ,3
2027-01-01,AI,full ,3
2027-01-01,Quantum Computing,emerging,1
2027-01-01,Internet of Things,full ,3
2028-01-01,Virutal Reality,growing,2
2028-01-01,Argumented Reality,full ,3
2028-01-01,AI,burst,0
2028-01-01,Quantum Computing,emerging,1
2028-01-01,Internet of Things,full ,3