Year,Technology,Stage,Prediction Value
1997-01-01,ATM Machines,Established,4
1997-01-01,Credit Card Processing Systems,Established,4
1997-01-01,Online Banking,Emerging,2
1998-01-01,ATM Machines,Established,4
1998-01-01,Credit Card Processing Systems,Established,4
1998-01-01,Online Banking,Emerging,2
1999-01-01,ATM Machines,Established,4
1999-01-01,Credit Card Processing Systems,Established,4
1999-01-01,Online Banking,Growing,3
2000-01-01,ATM Machines,Established,4
2000-01-01,Credit Card Processing Systems,Established,4
2000-01-01,Online Banking,Decline,1
2001-01-01,ATM Machines,Established,4
2001-01-01,Credit Card Processing Systems,Established,4
2001-01-01,Online Banking,Decline,1
2002-01-01,ATM Machines,Established,4
2002-01-01,Credit Card Processing Systems,Established,4
2002-01-01,Online Banking,Decline,1
2003-01-01,ATM Machines,Established,4
2003-01-01,Credit Card Processing Systems,Established,4
2003-01-01,Online Banking,Growing,3
2004-01-01,ATM Machines,Established,4
2004-01-01,Credit Card Processing Systems,Established,4
2004-01-01,Online Banking,Growing,3
2005-01-01,ATM Machines,Established,4
2005-01-01,Credit Card Processing Systems,Established,4
2005-01-01,Online Banking,Established,4
2006-01-01,ATM Machines,Established,4
2006-01-01,Credit Card Processing Systems,Established,4
2006-01-01,Online Banking,Established,4
2007-01-01,ATM Machines,Established,4
2007-01-01,Credit Card Processing Systems,Established,4
2007-01-01,Online Banking,Established,4
2008-01-01,ATM Machines,Established,4
2008-01-01,Credit Card Processing Systems,Established,4
2008-01-01,Online Banking,Established,4
2009-01-01,ATM Machines,Established,4
2009-01-01,Credit Card Processing Systems,Established,4
2009-01-01,Online Banking,Established,4
2010-01-01,ATM Machines,Established,4
2010-01-01,Credit Card Processing Systems,Established,4
2010-01-01,Online Banking,Established,4
2011-01-01,ATM Machines,Established,4
2011-01-01,Credit Card Processing Systems,Decline,1
2011-01-01,Online Banking,Established,4
2012-01-01,ATM Machines,Established,4
2012-01-01,Credit Card Processing Systems,Decline,1
2012-01-01,Online Banking,Established,4
2013-01-01,ATM Machines,Established,4
2013-01-01,Credit Card Processing Systems,Decline,1
2013-01-01,Online Banking,Established,4
2013-01-01,Mobile Banking Apps,Emerging,2
2014-01-01,ATM Machines,Established,4
2014-01-01,Credit Card Processing Systems,Decline,1
2014-01-01,Online Banking,Established,4
2014-01-01,Mobile Banking Apps,Growing,3
2015-01-01,ATM Machines,Established,4
2015-01-01,Credit Card Processing Systems,Established,4
2015-01-01,Online Banking,Established,4
2015-01-01,Mobile Banking Apps,Growing,3
2016-01-01,ATM Machines,Established,4
2016-01-01,Credit Card Processing Systems,Established,4
2016-01-01,Online Banking,Established,4
2016-01-01,Mobile Banking Apps,Growing,3
2017-01-01,ATM Machines,Established,4
2017-01-01,Credit Card Processing Systems,Established,4
2017-01-01,Online Banking,Established,4
2017-01-01,Mobile Banking Apps,Growing,3
2018-01-01,ATM Machines,Established,4
2018-01-01,Credit Card Processing Systems,Established,4
2018-01-01,Online Banking,Established,4
2018-01-01,Mobile Banking Apps,Established,4
2018-01-01,Blockchain,Emerging,2
2019-01-01,ATM Machines,Established,4
2019-01-01,Credit Card Processing Systems,Established,4
2019-01-01,Online Banking,Established,4
2019-01-01,Mobile Banking Apps,Established,4
2019-01-01,Blockchain,Growing,3
2020-01-01,Quantum Computing,Established,4
2020-01-01,Online Banking,Established,4
2020-01-01,Mobile Banking Apps,Established,4
2020-01-01,Blockchain,Established,4
2020-01-01,AI,Growing,3
2020-01-01,Clound Banking,Growing,3
2020-01-01,Robotic Process Automation,Emerging,2
2020-01-01,Digital Wallets,Growing,3
2020-01-01,Credit Card Processing Systems,Decline,1
2021-01-01,Quantum Computing,Established,4
2021-01-01,Online Banking,Established,4
2021-01-01,Mobile Banking Apps,Established,4
2021-01-01,Blockchain,Established,4
2021-01-01,AI,Growing,3
2021-01-01,Clound Banking,Growing,3
2021-01-01,Robotic Process Automation,Emerging,2
2021-01-01,Digital Wallets,Growing,3
2021-01-01,Credit Card Processing Systems,Established,4
2022-01-01,Quantum Computing,Established,4
2022-01-01,Online Banking,Established,4
2022-01-01,Mobile Banking Apps,Established,4
2022-01-01,Blockchain,Established,4
2022-01-01,AI,Growing,3
2022-01-01,Clound Banking,Growing,3
2022-01-01,Robotic Process Automation,Emerging,2
2022-01-01,Digital Wallets,Growing,3
2022-01-01,Credit Card Processing Systems,Decline,1
2023-01-01,Quantum Computing,Established,4
2023-01-01,Online Banking,Established,4
2023-01-01,Mobile Banking Apps,Established,4
2023-01-01,Blockchain,Established,4
2023-01-01,AI,Growing,3
2023-01-01,Clound Banking,Growing,3
2023-01-01,Robotic Process Automation,Emerging,2
2023-01-01,Digital Wallets,Growing,3
2023-01-01,Credit Card Processing Systems,Decline,1
2024-01-01,Quantum Computing,Established,4
2024-01-01,Online Banking,Established,4
2024-01-01,Mobile Banking Apps,Established,4
2024-01-01,Blockchain,Established,4
2024-01-01,AI,Growing,3
2024-01-01,Clound Banking,Growing,3
2024-01-01,Robotic Process Automation,Emerging,2
2024-01-01,Digital Wallets,Growing,3
2024-01-01,Credit Card Processing Systems,Decline,1