"Gross domestic product (GDP) at basic prices, by industry, monthly, growth rates (x 1,000,000) 1 2"
"Frequency: Monthly"
"Table: 36-10-0434-02"
"Release date: 2024-09-27"
"Geography: Canada"
""
""

"Seasonal adjustment","Seasonally adjusted at annual rates",,,,
"Prices","Chained (2017) dollars 3",,,,
"Geography","Canada",,,,
"North American Industry Classification System (NAICS)","January 2023","December 2023","January 2024","December 2023 to January 2024","January 2023 to January 2024"
,"Dollars",,,,
"All industries  [T001] 4","2,197,928","2,203,269","2,213,131","0.4","0.7"
"Goods-producing industries  [T002] 4","578,884","570,781","569,622","-0.2","-1.6"
"Service-producing industries  [T003] 4","1,618,264","1,630,870","1,641,644","0.7","1.4"
"Business sector industries  [T004]","1,778,061","1,785,154","1,785,306","0.0","0.4"
"Non-business sector industries  [T007]","419,755","417,904","427,318","2.3","1.8"
"Industrial production  [T010] 4","377,108","376,080","374,847","-0.3","-0.6"
"Non-durable manufacturing industries  [T011] 4","96,451","95,229","96,299","1.1","-0.2"
"Durable manufacturing industries  [T012] 4","116,915","115,012","114,245","-0.7","-2.3"
"Information and communication technology sector  [T013] 4","125,297","124,367","125,205","0.7","-0.1"
"Energy sector  [T016] 4","148,171","150,518","148,088","-1.6","-0.1"
"Industrial production (1950 definition)  [T017] 4","369,989","368,644","367,368","-0.3","-0.7"
"Public Sector  [T018] 4","455,853","455,471","465,053","2.1","2.0"
"Content and media sector  [T019] 4","13,582","12,441","12,997","4.5","-4.3"
"All industries (except cannabis sector)  [T020] 4","2,191,791","2,195,980","2,206,046","0.5","0.7"
"Cannabis sector  [T021] 4","7,327","7,355","7,194","-2.2","-1.8"
"All industries (except unlicensed cannabis sector)  [T024] 4","2,195,335","2,200,745","2,210,571","0.4","0.7"
"Agriculture, forestry, fishing and hunting  [11]","42,377","40,502","40,547","0.1","-4.3"
"Mining, quarrying, and oil and gas extraction  [21]","112,073","116,038","112,295","-3.2","0.2"
"Utilities  [22]","45,272","44,018","45,421","3.2","0.3"
"Construction  [23]","166,607","161,838","161,891","0.0","-2.8"
"Manufacturing  [31-33]","213,412","210,285","210,570","0.1","-1.3"
"Wholesale trade  [41]","120,853","120,831","120,449","-0.3","-0.3"
"Retail trade  [44-45]","114,524","116,026","115,943","-0.1","1.2"
"Transportation and warehousing  [48-49]","89,663","91,959","91,857","-0.1","2.4"
"Information and cultural industries  [51]","73,820","73,356","74,032","0.9","0.3"
"Finance and insurance  [52]","156,696","158,928","158,363","-0.4","1.1"
"Real estate and rental and leasing  [53]","288,010","294,296","295,280","0.3","2.5"
"Professional, scientific and technical services  [54]","156,478","157,455","157,848","0.2","0.9"
"Management of companies and enterprises  [55]","1,688","1,186","1,150","-3.0","-31.9"
"Administrative and support, waste management and remediation services  [56]","55,743","55,768","55,877","0.2","0.2"
"Educational services  [61]","121,451","114,953","123,144","7.1","1.4"
"Health care and social assistance  [62]","172,079","175,044","176,166","0.6","2.4"
"Arts, entertainment and recreation  [71]","17,537","17,117","17,177","0.4","-2.1"
"Accommodation and food services  [72]","44,883","44,627","44,612","-0.0","-0.6"
"Other services (except public administration)  [81]","44,508","45,233","45,253","0.0","1.7"
"Public administration  [91]","162,267","165,420","165,679","0.2","2.1"




Footnotes:
1,"Aggregates are not always equal to the sum of their components."
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"Effective November 30, 2023, the data is presented on a 2017 reference year basis."
4,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program <a href="https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=1301" rel="external noopener noreferrer" target="_blank">1301 - Gross domestic product by Industry - National (Monthly) (opens new window)</a>."



"How to cite: Statistics Canada. Table 36-10-0434-02  Gross domestic product (GDP) at basic prices, by industry, monthly, growth rates (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043402